,ID hecho,AAA,MM,DD,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD
19330,LC-2021-0285758,2021,6,22,CICLISTA,MASCULINO,28,SD
19331,LC-2021-0288641,2021,6,23,UTILITARIO,MASCULINO,48,SD
19332,LC-2021-0290865,2021,6,23,MOTO,FEMENINO,28,SD
19333,LC-2021-0311570,2021,7,2,PEATON,FEMENINO,54,SD
19334,LC-2021-0314213,2021,7,4,AUTO,MASCULINO,47,SD
19335,LC-2021-0314784,2021,7,4,MOTO,MASCULINO,27,SD
19336,LC-2021-0314837,2021,7,4,MOTO,MASCULINO,31,SD
19337,LC-2021-0325300,2021,7,10,MOTO,MASCULINO,32,SD
19338,LC-2021-0333323,2021,7,15,TRANSPORTE PUBLICO,FEMENINO,55,SD
19339,LC-2021-0334018,2021,7,15,TAXI,FEMENINO,43,SD
19340,LC-2021-0345841,2021,7,22,CICLISTA,MASCULINO,34,SD
19341,LC-2021-0367516,2021,7,26,PEATON,FEMENINO,15,SD
19342,LC-2021-0373074,2021,7,27,SD,FEMENINO,72,SD
19343,LC-2021-0381747,2021,8,2,SD,FEMENINO,47,GRAVE
19344,LC-2021-0381776,2021,8,1,SD,MASCULINO,58,SD
19345,LC-2021-0396776,2021,8,10,SD,MASCULINO,41,SD
19346,LC-2021-0402479,2021,8,14,SD,MASCULINO,28,SD
19347,LC-2021-0402479,2021,8,14,SD,FEMENINO,23,SD
19348,LC-2021-0402790,2021,8,14,SD,MASCULINO,18,SD
19349,LC-2021-0402867,2021,8,7,SD,FEMENINO,42,SD
19350,LC-2021-0410679,2021,8,19,SD,SD,0,SD
19351,LC-2021-0411705,2021,8,19,SD,MASCULINO,26,SD
19352,LC-2021-0422741,2021,8,26,SD,MASCULINO,42,SD
19353,LC-2021-0434303,2021,9,1,SD,MASCULINO,29,SD
19354,LC-2021-0435073,2021,9,2,SD,MASCULINO,29,SD
19355,LC-2021-0436955,2021,9,3,SD,MASCULINO,36,SD
19356,LC-2021-0437457,2021,8,17,SD,MASCULINO,61,SD
19357,LC-2021-0440345,2021,9,5,SD,SD,0,SD
19358,LC-2021-0442715,2021,9,6,SD,MASCULINO,24,GRAVE
19359,LC-2021-0467755,2021,9,20,SD,MASCULINO,27,SD
19360,LC-2021-0485105,2021,9,30,SD,MASCULINO,29,SD
19361,LC-2021-0485105,2021,9,30,SD,MASCULINO,27,SD
19362,LC-2021-0493231,2021,10,4,SD,FEMENINO,5,SD
19363,LC-2021-0498232,2021,10,7,SD,FEMENINO,23,SD
19364,LC-2021-0498232,2021,10,7,SD,MASCULINO,24,SD
19365,LC-2021-0499688,2021,10,7,SD,FEMENINO,25,SD
19366,LC-2021-0503360,2021,10,10,SD,FEMENINO,56,SD
19367,LC-2021-0505502,2021,10,12,SD,MASCULINO,31,SD
19368,LC-2021-0505981,2021,10,12,SD,SD,0,SD
19369,LC-2021-0507060,2021,10,13,SD,FEMENINO,43,SD
19370,LC-2021-0514877,2021,10,17,SD,SD,0,SD
19371,LC-2021-0518753,2021,10,19,SD,MASCULINO,29,GRAVE
19372,LC-2021-0520534,2021,10,20,SD,FEMENINO,56,SD
19373,LC-2021-0520540,2021,10,20,SD,MASCULINO,68,SD
19374,LC-2021-0521168,2021,10,20,SD,MASCULINO,37,SD
19375,LC-2021-0521301,2021,10,20,SD,MASCULINO,33,SD
19376,LC-2021-0527864,2021,10,23,SD,MASCULINO,65,SD
19377,LC-2021-0527864,2021,10,23,SD,MASCULINO,29,SD
19378,LC-2021-0535600,2021,10,6,SD,MASCULINO,32,SD
19379,LC-2021-0539745,2021,10,29,SD,MASCULINO,23,SD
19380,LC-2021-0545025,2021,10,28,SD,SD,0,SD
19381,LC-2021-0553009,2021,11,5,MOTO,MASCULINO,28,SD
19382,LC-2021-0553909,2021,11,6,MOTO,MASCULINO,57,SD
19383,LC-2021-0560041,2021,11,9,SD,MASCULINO,59,SD
19384,LC-2021-0564601,2021,11,11,MOTO,MASCULINO,36,SD
19385,LC-2021-0564730,2021,11,11,MOTO,MASCULINO,22,GRAVE
19386,LC-2021-0565655,2021,11,12,CICLISTA,MASCULINO,45,SD
19387,LC-2021-0566316,2021,11,12,TRANSPORTE PUBLICO,FEMENINO,45,SD
19388,LC-2021-0567054,2021,11,12,MOTO,MASCULINO,39,SD
19389,LC-2021-0568064,2021,11,13,TAXI,MASCULINO,66,SD
19390,LC-2021-0574790,2021,11,17,MOTO,MASCULINO,24,SD
19391,LC-2021-0580765,2021,11,20,MOTO,MASCULINO,50,SD
19392,LC-2021-0586117,2021,11,17,PEATON,MASCULINO,40,SD
19393,LC-2021-0592956,2021,11,28,MOTO,MASCULINO,26,SD
19394,LC-2021-0597062,2021,11,30,CICLISTA,MASCULINO,27,SD
19395,LC-2021-0599237,2021,12,1,MOTO,MASCULINO,44,SD
19396,LC-2021-0604737,2021,12,4,MOTO,MASCULINO,18,SD
19397,LC-2021-0605509,2021,12,5,AUTO,MASCULINO,32,SD
19398,LC-2021-0610732,2021,12,8,MOTO,FEMENINO,29,SD
19399,LC-2021-0610732,2021,12,8,MOTO,MASCULINO,21,SD
19400,LC-2021-0612606,2021,12,7,AUTO,MASCULINO,68,SD
19401,LC-2021-0617163,2021,12,11,SD,MASCULINO,36,GRAVE
19402,LC-2021-0618767,2021,12,10,TRANSPORTE PUBLICO,FEMENINO,36,SD
19403,LC-2021-0620501,2021,12,13,PEATON,FEMENINO,61,SD
19404,LC-2021-0626833,2021,12,16,SD,MASCULINO,34,SD
19405,LC-2021-0627230,2021,12,16,SD,MASCULINO,39,SD
19406,LC-2021-0627362,2021,12,16,SD,FEMENINO,19,SD
19407,LC-2021-0627407,2021,12,17,MOTO,MASCULINO,43,SD
19408,LC-2021-0629589,2021,12,18,MOTO,FEMENINO,44,SD
19409,LC-2021-0630599,2021,12,18,MOTO,MASCULINO,27,SD
19410,LC-2021-0633636,2021,12,20,SD,FEMENINO,47,SD
19411,LC-2021-0642900,2021,12,26,PEATON,MASCULINO,45,SD
19412,LC-2021-0645111,2021,12,27,SD,FEMENINO,48,SD
19413,LC-2021-0645111,2021,12,27,SD,FEMENINO,45,SD
19414,LC-2021-0645111,2021,12,27,SD,FEMENINO,32,SD
19415,LC-2021-0645111,2021,12,27,SD,MASCULINO,22,SD
19416,LC-2021-0645111,2021,12,27,SD,FEMENINO,28,SD
19417,LC-2021-0645111,2021,12,27,SD,FEMENINO,64,SD
19418,LC-2021-0651666,2021,8,2,SD,MASCULINO,42,SD
19419,LC-2021-0022312,2021,1,13,MOTO,FEMENINO,27,SD
19420,LC-2021-0042731,2021,1,29,SD,MASCULINO,57,SD
19421,LC-2021-0043638,2021,1,29,AUTO,MASCULINO,34,SD
19422,LC-2021-0058179,2021,2,8,CICLISTA,FEMENINO,19,SD
19423,LC-2021-0066451,2021,2,13,AUTO,FEMENINO,41,SD
19424,LC-2021-0091688,2021,3,1,PEATON,MASCULINO,0,SD
19425,LC-2021-0091707,2021,3,1,TAXI,FEMENINO,40,SD
19426,LC-2021-0098980,2021,3,5,MOTO,FEMENINO,31,SD
19427,LC-2021-0116634,2021,3,14,MOTO,MASCULINO,21,SD
19428,LC-2021-0123175,2021,3,17,PEATON,FEMENINO,52,SD
19429,LC-2021-0159229,2021,4,6,CICLISTA,MASCULINO,27,SD
19430,LC-2021-0160369,2021,4,7,AUTO,MASCULINO,63,SD
19431,LC-2021-0160369,2021,4,7,AUTO,FEMENINO,18,SD
19432,LC-2021-0163276,2021,4,3,CICLISTA,MASCULINO,40,SD
19433,LC-2021-0167257,2021,4,11,MOTO,MASCULINO,43,SD
19434,LC-2021-0175157,2021,4,14,SD,MASCULINO,43,SD
19435,LC-2021-0183197,2021,4,20,MOTO,MASCULINO,22,SD
19436,LC-2021-0199089,2021,4,28,CICLISTA,FEMENINO,49,SD
19437,LC-2021-0203225,2021,5,3,SD,SD,0,SD
19438,LC-2021-0206055,2021,5,4,SD,SD,0,SD
19439,LC-2021-0209423,2021,5,7,SD,SD,0,SD
19440,LC-2021-0217665,2021,5,10,SD,SD,0,SD
19441,LC-2021-0222467,2021,5,15,SD,SD,0,SD
19442,LC-2021-0247236,2021,6,2,MOTO,MASCULINO,41,SD
19443,LC-2021-0266154,2021,6,15,PEATON,MASCULINO,53,SD
19444,LC-2021-0268116,2021,6,16,MOTO,MASCULINO,37,SD
19445,LC-2021-0320693,2021,7,7,PEATON,MASCULINO,25,SD
19446,LC-2021-0346927,2021,7,23,SD,MASCULINO,27,SD
19447,LC-2021-0404959,2021,8,8,AUTO,SD,0,SD
19448,LC-2021-0404959,2021,8,8,AUTO,SD,0,SD
19449,LC-2021-0404959,2021,8,8,AUTO,FEMENINO,48,SD
19450,LC-2021-0421968,2021,8,25,PEATON,MASCULINO,62,SD
19451,LC-2021-0421968,2021,8,25,PEATON,MASCULINO,43,SD
19452,LC-2021-0432935,2021,8,27,SD,SD,0,SD
19453,LC-2021-0454000,2021,9,7,TRANSPORTE PUBLICO,FEMENINO,51,SD
19454,LC-2021-0473032,2021,9,18,PEATON,MASCULINO,33,SD
19455,LC-2021-0480539,2021,9,27,TRANSPORTE PUBLICO,FEMENINO,31,SD
19456,LC-2021-0491397,2021,10,2,TRANSPORTE PUBLICO,MASCULINO,38,SD
19457,LC-2021-0493867,2021,10,4,PEATON,MASCULINO,31,SD
19458,LC-2021-0499188,2021,10,7,MOTO,MASCULINO,47,SD
19459,LC-2021-0519509,2021,10,19,SD,MASCULINO,41,SD
19460,LC-2021-0519963,2021,10,16,SD,MASCULINO,72,SD
19461,LC-2021-0522946,2021,10,21,MOVIL,MASCULINO,33,SD
19462,LC-2021-0528107,2021,10,23,PEATON,FEMENINO,39,SD
19463,LC-2021-0531433,2021,10,25,PEATON,MASCULINO,0,SD
19464,LC-2021-0531839,2021,10,22,MOTO,MASCULINO,29,SD
19465,LC-2021-0536279,2021,10,28,CICLISTA,FEMENINO,26,SD
19466,LC-2021-0538062,2021,10,28,SD,FEMENINO,61,SD
19467,LC-2021-0549226,2021,11,3,AUTO,FEMENINO,37,SD
19468,LC-2021-0549226,2021,11,3,AUTO,MASCULINO,13,SD
19469,LC-2021-0564225,2021,11,11,MOTO,SD,0,SD
19470,LC-2021-0569971,2021,11,3,TRANSPORTE PUBLICO,FEMENINO,46,SD
19471,LC-2021-0578553,2021,11,19,MOTO,MASCULINO,0,SD
19472,LC-2021-0579296,2021,11,19,CICLISTA,MASCULINO,38,SD
19473,LC-2021-0585734,2021,11,18,CICLISTA,MASCULINO,30,SD
19474,LC-2021-0585956,2021,11,24,TRANSPORTE PUBLICO,FEMENINO,47,SD
19475,LC-2021-0586893,2021,11,26,CICLISTA,MASCULINO,29,SD
19476,LC-2021-0593180,2021,11,28,AUTO,SD,0,SD
19477,LC-2021-0601833,2021,12,3,TRANSPORTE PUBLICO,MASCULINO,21,SD
19478,LC-2021-0621344,2021,5,24,SD,FEMENINO,58,SD
19479,LC-2021-0628882,2021,12,17,SD,MASCULINO,20,GRAVE
19480,LC-2021-0628882,2021,12,17,SD,MASCULINO,42,SD
19481,LC-2021-0628882,2021,12,17,SD,FEMENINO,41,SD
19482,LC-2021-0630030,2021,12,17,PEATON,FEMENINO,74,SD
19483,LC-2021-0633817,2021,12,20,MOTO,MASCULINO,31,SD
19484,LC-2021-0638521,2021,12,22,SD,MASCULINO,65,SD
19485,LC-2021-0647187,2021,12,23,SD,FEMENINO,46,SD
19486,LC-2021-0651804,2021,12,30,SD,FEMENINO,26,SD
19487,LC-2021-0016261,2021,1,12,TRANSPORTE PUBLICO,MASCULINO,68,SD
19488,LC-2021-0118214,2021,3,15,TRANSPORTE PUBLICO,SD,0,SD
19489,LC-2021-0143842,2021,3,25,PEATON,MASCULINO,44,SD
